date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:38:50	219/219	---MCZ	200	added ('OK')	text/plain	etag:W/%2263fdf678-154%22	https://www.classcentral.com/robots.txt		(from )
15:38:53	665210/665210	---MCZ	200	added ('OK')	text/html	date:Wed,%2001%20Mar%202023%2013:38:52%20GMT	https://www.classcentral.com/	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/index.html	(from )
15:38:55	2206/2206	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/apple-touch-icon.png	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/apple-touch-icon.png	(from https://www.classcentral.com/)
15:38:55	975/975	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/favicon-32x32.png	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/favicon-32x32.png	(from https://www.classcentral.com/)
15:38:55	731/731	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/favicon-16x16.png	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/favicon-16x16.png	(from https://www.classcentral.com/)
15:38:56	9463/9463	---M--	200	added ('OK')	image/png	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://ccweb.imgix.net/https%3A%2F%2Fwww.classcentral.com%2Fimages%2Fmeta%2Fmeta-default.png?auto=format&ixlib=php-3.3.1&s=abde49e12c23a50309f7d91754b25193	C:/Users/User/PycharmProjects/ClassCentralCopy3/ccweb.imgix.net/https_/www.classcentral.com/images/meta/meta-default6dba.png	(from https://www.classcentral.com/)
15:38:56	673/673	---M--	200	added ('OK')	application/octet-stream	etag:%2263fdf41d-2a1%22	https://www.classcentral.com/site.webmanifest	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/site.webmanifest	(from https://www.classcentral.com/)
15:38:57	1960/1960	---MCZ	200	added ('OK')	image/svg+xml	etag:W/%2263fdf678-7a8%22	https://www.classcentral.com/safari-pinned-tab.svg	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/safari-pinned-tab.svg	(from https://www.classcentral.com/)
15:38:57	913/913	---MCZ	200	added ('OK')	text/xml	etag:W/%2263fdf678-391%22	https://www.classcentral.com/opensearch.xml	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/opensearch.xml	(from https://www.classcentral.com/)
15:38:57	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:38:57	892/892	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek-ext.woff2	(from https://www.classcentral.com/)
15:38:58	988/988	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-greek.woff2	(from https://www.classcentral.com/)
15:38:58	4464/4464	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-vietnamese.woff2	(from https://www.classcentral.com/)
15:38:58	10164/10164	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin-ext.woff2	(from https://www.classcentral.com/)
15:38:58	12656/12656	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-italic-latin.woff2	(from https://www.classcentral.com/)
15:38:59	5360/5360	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:24%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic-ext.woff2	(from https://www.classcentral.com/)
15:38:59	7748/7748	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-cyrillic.woff2	(from https://www.classcentral.com/)
15:38:59	6348/6348	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:41:27%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek-ext.woff2	(from https://www.classcentral.com/)
15:38:59	6840/6840	---M--	200	added ('OK')	application/octet-stream	date:Tue,%2028%20Feb%202023%2012:31:25%20GMT	https://www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	C:/Users/User/PycharmProjects/ClassCentralCopy3/www.classcentral.com/fonts/source-sans-pro-unhinted/source-sans-pro-400-regular-greek.woff2	(from https://www.classcentral.com/)
